season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
7,9,Larger Than Life,17 Jan. 2011,8.4,1926,"When a woman falls on the subway tracks, Jack jumps down, saves her and faints. Martha finds him in ER. When the hospital uses Taub's photo for promotion, his wife's aroused. House meets Cuddy's mom."
7,10,Carrot or Stick,24 Jan. 2011,8.0,1801,A disciplinary training camp drill instructor collapses with back pain. One of the 24 boys joins him in hospital. Someone has access to Chase's social media account and credit card. Cuddy wants Rachel in a good preschool.
7,11,Family Practice,7 Feb. 2011,8.6,2034,Cuddy's mom has heart problems and is admitted. Secrets come out about her mom.
7,12,You Must Remember This,14 Feb. 2011,7.9,1784,"When a waitress with a perfect memory suffers temporary paralysis, her older sister visits her in the hospital, which triggers high stress levels and even more health complications. The patient's sharp memory proves detrimental when a grudge she's been holding against her sibling gets in the way of receiving proper medical treatment, and Masters discovers that patching a broken sisterhood may prove to be more complex than diagnosing the patient. Meanwhile, Foreman volunteers to help Taub prepare for a medical examination, and House, determined to help Wilson get back ..."
7,13,Two Stories,21 Feb. 2011,8.9,2766,"House entertains a school class on Career Day telling about his patient, a college student, who coughed up his lung. He spices up the story with quotes from movies. He later gets advice from 2 students outside principal's office."
7,14,Recession Proof,28 Feb. 2011,7.9,1807,"A man cleans crime scenes after losing his real estate company. His wife doesn't know. He suddenly gets a fit at a restaurant. Masters thinks, he lied about his job. Foreman throws Taub out. Cuddy gets an award."
7,15,Bombshells,7 Mar. 2011,8.6,2512,"Tension reaches new heights when Cuddy faces sobering news that propels her to reevaluate her priorities. While House is distracted by his concern for Cuddy's well-being, the team treats a teenage patient whose worsening symptoms and suspicious body scars indicate more than just physical illness. Sensing the teen's troubled emotional and mental state, Taub turns to the patient's personal life for clues and uncovers disturbing home videos that could put the lives of his peers in danger. Meanwhile, Cuddy remains hopeful that House will be fully present when she needs ..."
7,16,Out of the Chute,14 Mar. 2011,8.9,2538,"Cuddy dumped House. He moves into a luxury hotel and goes on a Vicodin, booze and cute hooker binge. The team gets a trampled rodeo bull rider but needs House to save him. Masters has a crush on their patient."
7,17,Fall from Grace,21 Mar. 2011,8.4,2049,"A young homeless man who is a former drug addict is found in a park showing signs of olfactory impairment and horrific scars and burn marks on his chest. With an uncertain identity and the patient's severely worsening conditions, the team looks to the patient's personal records and family history in order to understand his detachment. Meanwhile, Cuddy confides in Wilson and expresses her guilt for ending her relationship with House, and just as the team warms up to the patient, they discover a disturbing secret about the man whose life they saved."
7,18,The Dig,11 Apr. 2011,8.9,2368,The team treats a patient with a secret home life. Thirteen is released from prison. House enlists Thirteen to participate in a spud gun competition.
7,19,Last Temptation,18 Apr. 2011,8.5,1912,"Masters faces a career crossroads on her last day as a medical student and struggles with the choice to continue on the path to become a surgeon or to accept the rare opportunity to join House's team officially. Meanwhile, the team treats a 16-year-old girl who inexplicably collapsed days before embarking on an ambitious sailing tour around the globe. Despite the patient's life-changing diagnosis, the patient's family insists on getting her back on the seas in time for her potentially record-breaking launch. But to the team's surprise, including House, Masters makes a..."
7,20,Changes,2 May 2011,7.9,1701,Arlene Cuddy returns and House and Cuddy's jobs are in danger when Arlene tries to sue the hospital.
7,21,The Fix,9 May 2011,7.8,1703,"When House and Wilson bet on a boxing match and disagree over the outcome, Wilson gives him exactly one day to pay up or prove him wrong."
7,22,After Hours,16 May 2011,9.2,2785,Darrien steals a car after getting stabbed and hurries to her friend 13's home for help. Chase brings an ultrasound and helps. House performs surgery on his own leg at home after using experimental drugs.
7,23,Moving On,23 May 2011,8.5,2502,"A known performance artist collapses during a performance. She ends with House's team, which is what she wanted. House is more self-destructive and irresponsible than usual. Cuddy's sister finds a date for her."
8,1,Twenty Vicodin,3 Oct. 2011,8.8,2865,"House gets parole at his hearing, but he still has to survive 5 more days in a prison filled with violent criminals. One of them wants 20 Vicodin ""or else"". He helps the prison doctor diagnose a patient."
8,2,Transplant,10 Oct. 2011,8.2,2034,"A surprising visitor makes House an offer he can't refuse by giving him the opportunity to help the Princeton Plainsboro team treat a unique patient in order to save the life of an organ recipient being administered by Wilson. Although House finds himself back on familiar ground, he quickly realizes that much has changed since he left, and he is forced to work on the case with smart yet timid resident Dr. Chi Park. After several inconclusive treatments and with time running out, House and Dr. Park are left with one last option to examine the patient's medical history ..."
8,3,Charity Case,17 Oct. 2011,8.2,1968,"When Benjamin suddenly collapses after making a rare and generous donation, House and Dr. Chi Park are convinced that his extreme altruistic behavior may indicate a deeper medical disorder. With no definitive explanation for Benjamin's loss of consciousness and unresponsiveness to treatment, House pushes just the right buttons to recruit former prison doctor Jessica Adams to volunteer her time and expertise to the case. Benjamin then makes a bold but life-threatening offer that could save another life, and the team must diagnose his disorder before he puts his own ..."
8,4,Risky Business,31 Oct. 2011,7.9,1814,"A businessman, about to move 1000s of jobs to China, needs to see a doctor. House needs a donation. Park bets with House on not getting fired. House tries to raise funds for insider trading in his patient's company."
8,5,The Confession,7 Nov. 2011,8.4,1889,"There's money now to hire Chase, Taub and Adams. A ""model citizen"" gets a seizure while cheating on his wife in a motel. He's House's new team's first patient. Is Taub dad to any of ""his"" two babies?"
8,6,Parents,14 Nov. 2011,8.0,1705,"A teenage boy attempting to follow in his late father's footsteps as an entertainer is admitted to Princeton Plainsboro with partial paralysis. As the team searches for a bone marrow match, they uncover a disturbing family secret. Meanwhile, House looks for creative ways to remove his ankle monitor so that he can attend a boxing match in Atlantic City, and he treats a patient who is convinced he is suffering from diabetes. Also, Taub faces a tough decision when his ex-wife Rachel tells him that she wants to move across the country with their infant daughter."
8,7,Dead & Buried,21 Nov. 2011,8.2,1794,House is more interested in a case that Foreman brings of a 4 year old dead boy than the 14 year old live girl. The team takes care of her while he sees the boy's dad and corpse.
8,8,Perils of Paranoia,28 Nov. 2011,7.9,1747,"A prosecutor in court thinks, he has a heart attack. Is it an anxiety attack? He has an arsenal hidden from his wife in their home. Taub tries to fix Foreman up with a nurse."
8,9,Better Half,23 Jan. 2012,8.1,1785,A man with Alzheimer's is offered a trial treatment after which he pukes blood. He ends with House and co. His wife claims to have an asexual marriage. House doesn't believe in asexual and bets Wilson.
8,10,Runaways,30 Jan. 2012,7.8,1721,"A runaway girl thinks she has asthma. While seeing House, her ear starts bleeding. Further treatment requires adult consent or social services. House enjoys not having an ankle monitor."
8,11,Nobody's Fault,6 Feb. 2012,9.2,2852,"When a violent incident involving a patient has serious consequences for one staff member, House and the team are placed under review by Dr. Walter Cofield, Foreman's former mentor and current Chief of Neurology. As House and each member of his team recount the details of the dramatic and life-threatening incident, Cofield must weigh the team's unconventional brand of collaboration against their ability to save lives."
8,12,Chase,13 Feb. 2012,8.9,2406,"Chase is back. His first patient is a cute nun about to make her final vow. While still blaming House, he needs his help with his patient. House and Taub try to one-up each other with pranks."
8,13,Man of the House,20 Feb. 2012,8.0,1705,"A marriage counselor collapses during a speaking engagement, but when he is put under close evaluation, the team notice changes in his behavior that conflict with his motivational message on the roles of men and women. Meanwhile, House and his Ukrainian ""wife"" Dominika make a deal to convince Immigration that they are a happily married couple. Also, House decides to name a team leader."
8,14,Love Is Blind,19 Mar. 2012,8.0,1782,A blind man has just bought an engagement ring when his hearing gets super sensitive. Seizure? House's mom drops by with a surprise. Park has an LSD trip.
8,15,Blowing the Whistle,2 Apr. 2012,7.4,1697,A patient is caught between family and a code of honor.
8,16,Gut Check,9 Apr. 2012,7.7,1693,A hockey player's on-ice fighting takes a turn for the worse.
8,17,We Need the Eggs,16 Apr. 2012,7.9,1722,"House and the team take on the case of a man who starts tearing blood. Meanwhile, House is interviewing for a new favorite hooker, since his current favorite, Emily, has decided to get married and leave the business. Desperate for Emily ""companionship,"" House teams up with his ""wife"" Dominika to sabotage Emily's budding relationship."
8,18,Body and Soul,23 Apr. 2012,8.0,1835,The team analyzes the significance of dreams.
8,19,The C Word,30 Apr. 2012,9.0,2649,"6 y.o. Emily gets a nose bleed and faints. Her dad gets her to the hospital, her mom's a doctor. Wilson has cancer, House is there for him."
8,20,Post Mortem,7 May 2012,8.8,2059,The team treats a fellow doctor wary of their skills. Meanwhile Wilson forces House in a roadtrip.
8,21,Holding On,14 May 2012,9.1,2471,"A patient's illness has its roots in the body and mind. Wilson, and House, tries to come to term with the cancer."
8,22,Everybody Dies,21 May 2012,9.3,5471,"Treating a drug addict patient results in House examining his life, his future and confronting his own personal demons."
