field/0/__text;field/1/__text;field/2/_ref;_id
Neuromyelitis optica [Devic];G36.0;icdcat6-4;G360
Acute and subacute haemorrhagic leukoencephalitis [Hurst];G36.1;icdcat6-4;G361
Other specified acute disseminated demyelination;G36.8;icdcat6-4;G368
Acute disseminated demyelination, unspecified;G36.9;icdcat6-4;G369
Other demyelinating diseases of central nervous system;G37;icdcat6-4;G37
Diffuse sclerosis;G37.0;icdcat6-4;G370
Central demyelination of corpus callosum;G37.1;icdcat6-4;G371
Central pontine myelinolysis;G37.2;icdcat6-4;G372
Acute transverse myelitis in demyelinating disease of central nervous system;G37.3;icdcat6-4;G373
Subacute necrotizing myelitis;G37.4;icdcat6-4;G374
Concentric sclerosis [Baló];G37.5;icdcat6-4;G375
Other specified demyelinating diseases of central nervous system;G37.8;icdcat6-4;G378
Demyelinating disease of central nervous system, unspecified;G37.9;icdcat6-4;G379
Epilepsy;G40;icdcat6-5;G40
Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset;G40.0;icdcat6-5;G400
Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures;G40.1;icdcat6-5;G401
Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures;G40.2;icdcat6-5;G402
Generalized idiopathic epilepsy and epileptic syndromes;G40.3;icdcat6-5;G403
Other generalized epilepsy and epileptic syndromes;G40.4;icdcat6-5;G404
Special epileptic syndromes;G40.5;icdcat6-5;G405
Grand mal seizures, unspecified (with or without petit mal);G40.6;icdcat6-5;G406
Petit mal, unspecified, without grand mal seizures;G40.7;icdcat6-5;G407
Other epilepsy;G40.8;icdcat6-5;G408
Epilepsy, unspecified;G40.9;icdcat6-5;G409
Status epilepticus;G41;icdcat6-5;G41
Grand mal status epilepticus;G41.0;icdcat6-5;G410
Petit mal status epilepticus;G41.1;icdcat6-5;G411
Complex partial status epilepticus;G41.2;icdcat6-5;G412
Other status epilepticus;G41.8;icdcat6-5;G418
Status epilepticus, unspecified;G41.9;icdcat6-5;G419
Migraine;G43;icdcat6-5;G43
Migraine without aura [common migraine];G43.0;icdcat6-5;G430
Migraine with aura [classical migraine];G43.1;icdcat6-5;G431
Status migrainosus;G43.2;icdcat6-5;G432
Complicated migraine;G43.3;icdcat6-5;G433
Other migraine;G43.8;icdcat6-5;G438
Migraine, unspecified;G43.9;icdcat6-5;G439
Other headache syndromes;G44;icdcat6-5;G44
Cluster headache syndrome;G44.0;icdcat6-5;G440
Vascular headache, not elsewhere classified;G44.1;icdcat6-5;G441
Tension-type headache;G44.2;icdcat6-5;G442
Chronic post-traumatic headache;G44.3;icdcat6-5;G443
Drug-induced headache, not elsewhere classified;G44.4;icdcat6-5;G444
Other specified headache syndromes;G44.8;icdcat6-5;G448
Transient cerebral ischaemic attacks and related syndromes;G45;icdcat6-5;G45
Vertebro-basilar artery syndrome;G45.0;icdcat6-5;G450
Carotid artery syndrome (hemispheric);G45.1;icdcat6-5;G451
Multiple and bilateral precerebral artery syndromes;G45.2;icdcat6-5;G452
Amaurosis fugax;G45.3;icdcat6-5;G453
Transient global amnesia;G45.4;icdcat6-5;G454
Other transient cerebral ischaemic attacks and related syndromes;G45.8;icdcat6-5;G458
Transient cerebral ischaemic attack, unspecified;G45.9;icdcat6-5;G459
Vascular syndromes of brain in cerebrovascular diseases;G46;icdcat6-5;G46
Middle cerebral artery syndrome;G46.0;icdcat6-5;G460
Anterior cerebral artery syndrome;G46.1;icdcat6-5;G461
Posterior cerebral artery syndrome;G46.2;icdcat6-5;G462
Brain stem stroke syndrome;G46.3;icdcat6-5;G463
Cerebellar stroke syndrome;G46.4;icdcat6-5;G464
Pure motor lacunar syndrome;G46.5;icdcat6-5;G465
Pure sensory lacunar syndrome;G46.6;icdcat6-5;G466
Other lacunar syndromes;G46.7;icdcat6-5;G467
Other vascular syndromes of brain in cerebrovascular diseases;G46.8;icdcat6-5;G468
Sleep disorders;G47;icdcat6-5;G47
Disorders of initiating and maintaining sleep [insomnias];G47.0;icdcat6-5;G470
Disorders of excessive somnolence [hypersomnias];G47.1;icdcat6-5;G471
Disorders of the sleep-wake schedule;G47.2;icdcat6-5;G472
Sleep apnoea;G47.3;icdcat6-5;G473
Narcolepsy and cataplexy;G47.4;icdcat6-5;G474
Other sleep disorders;G47.8;icdcat6-5;G478
Sleep disorder, unspecified;G47.9;icdcat6-5;G479
Disorders of trigeminal nerve;G50;icdcat6-6;G50
Trigeminal neuralgia;G50.0;icdcat6-6;G500
Atypical facial pain;G50.1;icdcat6-6;G501
Other disorders of trigeminal nerve;G50.8;icdcat6-6;G508
Disorder of trigeminal nerve, unspecified;G50.9;icdcat6-6;G509
Facial nerve disorders;G51;icdcat6-6;G51
Bell palsy;G51.0;icdcat6-6;G510
Geniculate ganglionitis;G51.1;icdcat6-6;G511
Melkersson syndrome;G51.2;icdcat6-6;G512
Clonic hemifacial spasm;G51.3;icdcat6-6;G513
Facial myokymia;G51.4;icdcat6-6;G514
Other disorders of facial nerve;G51.8;icdcat6-6;G518
Disorder of facial nerve, unspecified;G51.9;icdcat6-6;G519
Disorders of other cranial nerves;G52;icdcat6-6;G52
Disorders of olfactory nerve;G52.0;icdcat6-6;G520
Disorders of glossopharyngeal nerve;G52.1;icdcat6-6;G521
Disorders of vagus nerve;G52.2;icdcat6-6;G522
Disorders of hypoglossal nerve;G52.3;icdcat6-6;G523
Disorders of multiple cranial nerves;G52.7;icdcat6-6;G527
Disorders of other specified cranial nerves;G52.8;icdcat6-6;G528
Cranial nerve disorder, unspecified;G52.9;icdcat6-6;G529
Cranial nerve disorders in diseases classified elsewhere;G53;icdcat6-6;G53
Postzoster neuralgia;G53.0;icdcat6-6;G530
Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere;G53.1;icdcat6-6;G531
Multiple cranial nerve palsies in sarcoidosis;G53.2;icdcat6-6;G532
Multiple cranial nerve palsies in neoplastic disease;G53.3;icdcat6-6;G533
Other cranial nerve disorders in other diseases classified elsewhere;G53.8;icdcat6-6;G538
Nerve root and plexus disorders;G54;icdcat6-6;G54
Brachial plexus disorders;G54.0;icdcat6-6;G540
Lumbosacral plexus disorders;G54.1;icdcat6-6;G541
Cervical root disorders, not elsewhere classified;G54.2;icdcat6-6;G542
Thoracic root disorders, not elsewhere classified;G54.3;icdcat6-6;G543
Lumbosacral root disorders, not elsewhere classified;G54.4;icdcat6-6;G544
Neuralgic amyotrophy;G54.5;icdcat6-6;G545
Phantom limb syndrome with pain;G54.6;icdcat6-6;G546
Phantom limb syndrome without pain;G54.7;icdcat6-6;G547
Other nerve root and plexus disorders;G54.8;icdcat6-6;G548
Nerve root and plexus disorder, unspecified;G54.9;icdcat6-6;G549
Nerve root and plexus compressions in diseases classified elsewhere;G55;icdcat6-6;G55
Nerve root and plexus compressions in neoplastic disease;G55.0;icdcat6-6;G550
Nerve root and plexus compressions in intervertebral disc disorders;G55.1;icdcat6-6;G551
Nerve root and plexus compressions in spondylosis;G55.2;icdcat6-6;G552
Nerve root and plexus compressions in other dorsopathies;G55.3;icdcat6-6;G553
Nerve root and plexus compressions in other diseases classified elsewhere;G55.8;icdcat6-6;G558
Mononeuropathies of upper limb;G56;icdcat6-6;G56
Carpal tunnel syndrome;G56.0;icdcat6-6;G560
Other lesions of median nerve;G56.1;icdcat6-6;G561
Lesion of ulnar nerve;G56.2;icdcat6-6;G562
Lesion of radial nerve;G56.3;icdcat6-6;G563
Causalgia;G56.4;icdcat6-6;G564
Other mononeuropathies of upper limb;G56.8;icdcat6-6;G568
Mononeuropathy of upper limb, unspecified;G56.9;icdcat6-6;G569
Mononeuropathies of lower limb;G57;icdcat6-6;G57
Lesion of sciatic nerve;G57.0;icdcat6-6;G570
Meralgia paraesthetica;G57.1;icdcat6-6;G571
Lesion of femoral nerve;G57.2;icdcat6-6;G572
Lesion of lateral popliteal nerve;G57.3;icdcat6-6;G573
Lesion of medial popliteal nerve;G57.4;icdcat6-6;G574
Tarsal tunnel syndrome;G57.5;icdcat6-6;G575
Lesion of plantar nerve;G57.6;icdcat6-6;G576
Other mononeuropathies of lower limb;G57.8;icdcat6-6;G578
Mononeuropathy of lower limb, unspecified;G57.9;icdcat6-6;G579
Other mononeuropathies;G58;icdcat6-6;G58
Intercostal neuropathy;G58.0;icdcat6-6;G580
Mononeuritis multiplex;G58.7;icdcat6-6;G587
Other specified mononeuropathies;G58.8;icdcat6-6;G588
Mononeuropathy, unspecified;G58.9;icdcat6-6;G589
Mononeuropathy in diseases classified elsewhere;G59;icdcat6-6;G59
Diabetic mononeuropathy;G59.0;icdcat6-6;G590
Other mononeuropathies in diseases classified elsewhere;G59.8;icdcat6-6;G598
Hereditary and idiopathic neuropathy;G60;icdcat6-7;G60
Hereditary motor and sensory neuropathy;G60.0;icdcat6-7;G600
Refsum disease;G60.1;icdcat6-7;G601
Neuropathy in association with hereditary ataxia;G60.2;icdcat6-7;G602
Idiopathic progressive neuropathy;G60.3;icdcat6-7;G603
Other hereditary and idiopathic neuropathies;G60.8;icdcat6-7;G608
Hereditary and idiopathic neuropathy, unspecified;G60.9;icdcat6-7;G609
Inflammatory polyneuropathy;G61;icdcat6-7;G61
Guillain-Barré syndrome;G61.0;icdcat6-7;G610
Serum neuropathy;G61.1;icdcat6-7;G611
Other inflammatory polyneuropathies;G61.8;icdcat6-7;G618
Inflammatory polyneuropathy, unspecified;G61.9;icdcat6-7;G619
Other polyneuropathies;G62;icdcat6-7;G62
Drug-induced polyneuropathy;G62.0;icdcat6-7;G620
Alcoholic polyneuropathy;G62.1;icdcat6-7;G621
Polyneuropathy due to other toxic agents;G62.2;icdcat6-7;G622
Other specified polyneuropathies;G62.8;icdcat6-7;G628
Polyneuropathy, unspecified;G62.9;icdcat6-7;G629
Polyneuropathy in diseases classified elsewhere;G63;icdcat6-7;G63
Polyneuropathy in infectious and parasitic diseases classified elsewhere;G63.0;icdcat6-7;G630
Polyneuropathy in neoplastic disease;G63.1;icdcat6-7;G631
Diabetic polyneuropathy;G63.2;icdcat6-7;G632
Polyneuropathy in other endocrine and metabolic diseases;G63.3;icdcat6-7;G633
Polyneuropathy in nutritional deficiency;G63.4;icdcat6-7;G634
Polyneuropathy in systemic connective tissue disorders;G63.5;icdcat6-7;G635
Polyneuropathy in other musculoskeletal disorders;G63.6;icdcat6-7;G636
Polyneuropathy in other diseases classified elsewhere;G63.8;icdcat6-7;G638
Other disorders of peripheral nervous system;G64;icdcat6-7;G64
Myasthenia gravis and other myoneural disorders;G70;icdcat6-8;G70
Myasthenia gravis;G70.0;icdcat6-8;G700
Toxic myoneural disorders;G70.1;icdcat6-8;G701
Congenital and developmental myasthenia;G70.2;icdcat6-8;G702
Other specified myoneural disorders;G70.8;icdcat6-8;G708
Myoneural disorder, unspecified;G70.9;icdcat6-8;G709
Primary disorders of muscles;G71;icdcat6-8;G71
Muscular dystrophy;G71.0;icdcat6-8;G710
Myotonic disorders;G71.1;icdcat6-8;G711
Congenital myopathies;G71.2;icdcat6-8;G712
Mitochondrial myopathy, not elsewhere classified;G71.3;icdcat6-8;G713
Other primary disorders of muscles;G71.8;icdcat6-8;G718
Primary disorder of muscle, unspecified;G71.9;icdcat6-8;G719
Other myopathies;G72;icdcat6-8;G72
Drug-induced myopathy;G72.0;icdcat6-8;G720
Alcoholic myopathy;G72.1;icdcat6-8;G721
Myopathy due to other toxic agents;G72.2;icdcat6-8;G722
Periodic paralysis;G72.3;icdcat6-8;G723
Inflammatory myopathy, not elsewhere classified;G72.4;icdcat6-8;G724
Other specified myopathies;G72.8;icdcat6-8;G728
Myopathy, unspecified;G72.9;icdcat6-8;G729
Disorders of myoneural junction and muscle in diseases classified elsewhere;G73;icdcat6-8;G73
Myasthenic syndromes in endocrine diseases;G73.0;icdcat6-8;G730
Lambert-Eaton syndrome;G73.1;icdcat6-8;G731
Other myasthenic syndromes in neoplastic disease;G73.2;icdcat6-8;G732
Myasthenic syndromes in other diseases classified elsewhere;G73.3;icdcat6-8;G733
Myopathy in infectious and parasitic diseases classified elsewhere;G73.4;icdcat6-8;G734
Myopathy in endocrine diseases;G73.5;icdcat6-8;G735
Myopathy in metabolic diseases;G73.6;icdcat6-8;G736
Myopathy in other diseases classified elsewhere;G73.7;icdcat6-8;G737
Cerebral palsy;G80;icdcat6-9;G80
Spastic quadriplegic cerebral palsy;G80.0;icdcat6-9;G800
Spastic diplegic cerebral palsy;G80.1;icdcat6-9;G801
Spastic hemiplegic cerebral palsy;G80.2;icdcat6-9;G802
Dyskinetic cerebral palsy;G80.3;icdcat6-9;G803
Ataxic cerebral palsy;G80.4;icdcat6-9;G804
Other cerebral palsy;G80.8;icdcat6-9;G808
Cerebral palsy, unspecified;G80.9;icdcat6-9;G809
Hemiplegia;G81;icdcat6-9;G81
Flaccid hemiplegia;G81.0;icdcat6-9;G810
Spastic hemiplegia;G81.1;icdcat6-9;G811
Hemiplegia, unspecified;G81.9;icdcat6-9;G819
Paraplegia and tetraplegia;G82;icdcat6-9;G82
Flaccid paraplegia;G82.0;icdcat6-9;G820
Spastic paraplegia;G82.1;icdcat6-9;G821
Paraplegia, unspecified;G82.2;icdcat6-9;G822
Flaccid tetraplegia;G82.3;icdcat6-9;G823
Spastic tetraplegia;G82.4;icdcat6-9;G824
Tetraplegia, unspecified;G82.5;icdcat6-9;G825
Other paralytic syndromes;G83;icdcat6-9;G83
Diplegia of upper limbs;G83.0;icdcat6-9;G830
Monoplegia of lower limb;G83.1;icdcat6-9;G831
Monoplegia of upper limb;G83.2;icdcat6-9;G832
Monoplegia, unspecified;G83.3;icdcat6-9;G833
Cauda equina syndrome;G83.4;icdcat6-9;G834
Other specified paralytic syndromes;G83.8;icdcat6-9;G838
Paralytic syndrome, unspecified;G83.9;icdcat6-9;G839
Disorders of autonomic nervous system;G90;icdcat6-10;G90
Idiopathic peripheral autonomic neuropathy;G90.0;icdcat6-10;G900
Familial dysautonomia [Riley-Day];G90.1;icdcat6-10;G901
Horner syndrome;G90.2;icdcat6-10;G902
Multisystem degeneration;G90.3;icdcat6-10;G903
Other disorders of autonomic nervous system;G90.8;icdcat6-10;G908
Disorder of autonomic nervous system, unspecified;G90.9;icdcat6-10;G909
Hydrocephalus;G91;icdcat6-10;G91
Communicating hydrocephalus;G91.0;icdcat6-10;G910
Obstructive hydrocephalus;G91.1;icdcat6-10;G911
Normal-pressure hydrocephalus;G91.2;icdcat6-10;G912
Post-traumatic hydrocephalus, unspecified;G91.3;icdcat6-10;G913
Other hydrocephalus;G91.8;icdcat6-10;G918
Hydrocephalus, unspecified;G91.9;icdcat6-10;G919
Toxic encephalopathy;G92;icdcat6-10;G92
Other disorders of brain;G93;icdcat6-10;G93
Cerebral cysts;G93.0;icdcat6-10;G930
Anoxic brain damage, not elsewhere classified;G93.1;icdcat6-10;G931
Benign intracranial hypertension;G93.2;icdcat6-10;G932
Postviral fatigue syndrome;G93.3;icdcat6-10;G933
Encephalopathy, unspecified;G93.4;icdcat6-10;G934
Compression of brain;G93.5;icdcat6-10;G935
Cerebral oedema;G93.6;icdcat6-10;G936
Reye syndrome;G93.7;icdcat6-10;G937
Other specified disorders of brain;G93.8;icdcat6-10;G938
Disorder of brain, unspecified;G93.9;icdcat6-10;G939
Other disorders of brain in diseases classified elsewhere;G94;icdcat6-10;G94
Hydrocephalus in infectious and parasitic diseases classified elsewhere;G94.0;icdcat6-10;G940
Hydrocephalus in neoplastic disease;G94.1;icdcat6-10;G941
Hydrocephalus in other diseases classified elsewhere;G94.2;icdcat6-10;G942
Other specified disorders of brain in diseases classified elsewhere;G94.8;icdcat6-10;G948
Other diseases of spinal cord;G95;icdcat6-10;G95
Syringomyelia and syringobulbia;G95.0;icdcat6-10;G950
Vascular myelopathies;G95.1;icdcat6-10;G951
Cord compression, unspecified;G95.2;icdcat6-10;G952
Other specified diseases of spinal cord;G95.8;icdcat6-10;G958
Disease of spinal cord, unspecified;G95.9;icdcat6-10;G959
Other disorders of central nervous system;G96;icdcat6-10;G96
Cerebrospinal fluid leak;G96.0;icdcat6-10;G960
Disorders of meninges, not elsewhere classified;G96.1;icdcat6-10;G961
Other specified disorders of central nervous system;G96.8;icdcat6-10;G968
Disorder of central nervous system, unspecified;G96.9;icdcat6-10;G969
Postprocedural disorders of nervous system, not elsewhere classified;G97;icdcat6-10;G97
Cerebrospinal fluid leak from spinal puncture;G97.0;icdcat6-10;G970
Other reaction to spinal and lumbar puncture;G97.1;icdcat6-10;G971
Intracranial hypotension following ventricular shunting;G97.2;icdcat6-10;G972
Other postprocedural disorders of nervous system;G97.8;icdcat6-10;G978
Postprocedural disorder of nervous system, unspecified;G97.9;icdcat6-10;G979
Other disorders of nervous system, not elsewhere classified;G98;icdcat6-10;G98
Other disorders of nervous system in diseases classified elsewhere;G99;icdcat6-10;G99
Autonomic neuropathy in endocrine and metabolic diseases;G99.0;icdcat6-10;G990
Other disorders of autonomic nervous system in other diseases classified elsewhere;G99.1;icdcat6-10;G991
Myelopathy in diseases classified elsewhere;G99.2;icdcat6-10;G992
Other specified disorders of nervous system in diseases classified elsewhere;G99.8;icdcat6-10;G998
Hordeolum and chalazion;H00;icdcat7-1;H00
Hordeolum and other deep inflammation of eyelid;H00.0;icdcat7-1;H000
Chalazion;H00.1;icdcat7-1;H001
Other inflammation of eyelid;H01;icdcat7-1;H01
Blepharitis;H01.0;icdcat7-1;H010
Noninfectious dermatoses of eyelid;H01.1;icdcat7-1;H011
Other specified inflammation of eyelid;H01.8;icdcat7-1;H018
Inflammation of eyelid, unspecified;H01.9;icdcat7-1;H019
Other disorders of eyelid;H02;icdcat7-1;H02
Entropion and trichiasis of eyelid;H02.0;icdcat7-1;H020
Ectropion of eyelid;H02.1;icdcat7-1;H021
Lagophthalmos;H02.2;icdcat7-1;H022
Blepharochalasis;H02.3;icdcat7-1;H023
Ptosis of eyelid;H02.4;icdcat7-1;H024
Other disorders affecting eyelid function;H02.5;icdcat7-1;H025
Xanthelasma of eyelid;H02.6;icdcat7-1;H026
Other degenerative disorders of eyelid and periocular area;H02.7;icdcat7-1;H027
Other specified disorders of eyelid;H02.8;icdcat7-1;H028
Disorder of eyelid, unspecified;H02.9;icdcat7-1;H029
Disorders of eyelid in diseases classified elsewhere;H03;icdcat7-1;H03
Parasitic infestation of eyelid in diseases classified elsewhere;H03.0;icdcat7-1;H030
Involvement of eyelid in other infectious diseases classified elsewhere;H03.1;icdcat7-1;H031
Involvement of eyelid in other diseases classified elsewhere;H03.8;icdcat7-1;H038
Disorders of lacrimal system;H04;icdcat7-1;H04
Dacryoadenitis;H04.0;icdcat7-1;H040
Other disorders of lacrimal gland;H04.1;icdcat7-1;H041
Epiphora;H04.2;icdcat7-1;H042
Acute and unspecified inflammation of lacrimal passages;H04.3;icdcat7-1;H043
Chronic inflammation of lacrimal passages;H04.4;icdcat7-1;H044
Stenosis and insufficiency of lacrimal passages;H04.5;icdcat7-1;H045
Other changes in lacrimal passages;H04.6;icdcat7-1;H046
Other disorders of lacrimal system;H04.8;icdcat7-1;H048
Disorder of lacrimal system, unspecified;H04.9;icdcat7-1;H049
Disorders of orbit;H05;icdcat7-1;H05
Acute inflammation of orbit;H05.0;icdcat7-1;H050
Chronic inflammatory disorders of orbit;H05.1;icdcat7-1;H051
Exophthalmic conditions;H05.2;icdcat7-1;H052
Deformity of orbit;H05.3;icdcat7-1;H053
Enophthalmos;H05.4;icdcat7-1;H054
Retained (old) foreign body following penetrating wound of orbit;H05.5;icdcat7-1;H055
Other disorders of orbit;H05.8;icdcat7-1;H058
Disorder of orbit, unspecified;H05.9;icdcat7-1;H059
Disorders of lacrimal system and orbit in diseases classified elsewhere;H06;icdcat7-1;H06
Disorders of lacrimal system in diseases classified elsewhere;H06.0;icdcat7-1;H060
Parasitic infestation of orbit in diseases classified elsewhere;H06.1;icdcat7-1;H061
Dysthyroid exophthalmos;H06.2;icdcat7-1;H062
Other disorders of orbit in diseases classified elsewhere;H06.3;icdcat7-1;H063
Conjunctivitis;H10;icdcat7-2;H10
Mucopurulent conjunctivitis;H10.0;icdcat7-2;H100
Acute atopic conjunctivitis;H10.1;icdcat7-2;H101
Other acute conjunctivitis;H10.2;icdcat7-2;H102
Acute conjunctivitis, unspecified;H10.3;icdcat7-2;H103
Chronic conjunctivitis;H10.4;icdcat7-2;H104
Blepharoconjunctivitis;H10.5;icdcat7-2;H105
Other conjunctivitis;H10.8;icdcat7-2;H108
Conjunctivitis, unspecified;H10.9;icdcat7-2;H109
Other disorders of conjunctiva;H11;icdcat7-2;H11
Pterygium;H11.0;icdcat7-2;H110
Conjunctival degenerations and deposits;H11.1;icdcat7-2;H111
Conjunctival scars;H11.2;icdcat7-2;H112
Conjunctival haemorrhage;H11.3;icdcat7-2;H113
Other conjunctival vascular disorders and cysts;H11.4;icdcat7-2;H114
Other specified disorders of conjunctiva;H11.8;icdcat7-2;H118
Disorder of conjunctiva, unspecified;H11.9;icdcat7-2;H119
Disorders of conjunctiva in diseases classified elsewhere;H13;icdcat7-2;H13
Filarial infection of conjunctiva;H13.0;icdcat7-2;H130
Conjunctivitis in infectious and parasitic diseases classified elsewhere;H13.1;icdcat7-2;H131
Conjunctivitis in other diseases classified elsewhere;H13.2;icdcat7-2;H132
Ocular pemphigoid;H13.3;icdcat7-2;H133
Other disorders of conjunctiva in diseases classified elsewhere;H13.8;icdcat7-2;H138
Disorders of sclera;H15;icdcat7-3;H15
Scleritis;H15.0;icdcat7-3;H150
Episcleritis;H15.1;icdcat7-3;H151
Other disorders of sclera;H15.8;icdcat7-3;H158
Disorder of sclera, unspecified;H15.9;icdcat7-3;H159
Keratitis;H16;icdcat7-3;H16
Corneal ulcer;H16.0;icdcat7-3;H160
Other superficial keratitis without conjunctivitis;H16.1;icdcat7-3;H161
Keratoconjunctivitis;H16.2;icdcat7-3;H162
Interstitial and deep keratitis;H16.3;icdcat7-3;H163
Corneal neovascularization;H16.4;icdcat7-3;H164
Other keratitis;H16.8;icdcat7-3;H168
Keratitis, unspecified;H16.9;icdcat7-3;H169
Corneal scars and opacities;H17;icdcat7-3;H17
Adherent leukoma;H17.0;icdcat7-3;H170
Other central corneal opacity;H17.1;icdcat7-3;H171
Other corneal scars and opacities;H17.8;icdcat7-3;H178
Corneal scar and opacity, unspecified;H17.9;icdcat7-3;H179
Other disorders of cornea;H18;icdcat7-3;H18
Corneal pigmentations and deposits;H18.0;icdcat7-3;H180
Bullous keratopathy;H18.1;icdcat7-3;H181
Other corneal oedema;H18.2;icdcat7-3;H182
Changes in corneal membranes;H18.3;icdcat7-3;H183
Corneal degeneration;H18.4;icdcat7-3;H184
Hereditary corneal dystrophies;H18.5;icdcat7-3;H185
Keratoconus;H18.6;icdcat7-3;H186
Other corneal deformities;H18.7;icdcat7-3;H187
Other specified disorders of cornea;H18.8;icdcat7-3;H188
Disorder of cornea, unspecified;H18.9;icdcat7-3;H189
Disorders of sclera and cornea in diseases classified elsewhere;H19;icdcat7-3;H19
Scleritis and episcleritis in diseases classified elsewhere;H19.0;icdcat7-3;H190
Herpesviral keratitis and keratoconjunctivitis;H19.1;icdcat7-3;H191
Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere;H19.2;icdcat7-3;H192
Keratitis and keratoconjunctivitis in other diseases classified elsewhere;H19.3;icdcat7-3;H193
Other disorders of sclera and cornea in diseases classified elsewhere;H19.8;icdcat7-3;H198
Iridocyclitis;H20;icdcat7-3;H20
Acute and subacute iridocyclitis;H20.0;icdcat7-3;H200
Chronic iridocyclitis;H20.1;icdcat7-3;H201
Lens-induced iridocyclitis;H20.2;icdcat7-3;H202
Other iridocyclitis;H20.8;icdcat7-3;H208
Iridocyclitis, unspecified;H20.9;icdcat7-3;H209
Other disorders of iris and ciliary body;H21;icdcat7-3;H21
Hyphaema;H21.0;icdcat7-3;H210
Other vascular disorders of iris and ciliary body;H21.1;icdcat7-3;H211
Degeneration of iris and ciliary body;H21.2;icdcat7-3;H212
Cyst of iris, ciliary body and anterior chamber;H21.3;icdcat7-3;H213
Pupillary membranes;H21.4;icdcat7-3;H214
Other adhesions and disruptions of iris and ciliary body;H21.5;icdcat7-3;H215
Other specified disorders of iris and ciliary body;H21.8;icdcat7-3;H218
Disorder of iris and ciliary body, unspecified;H21.9;icdcat7-3;H219
Disorders of iris and ciliary body in diseases classified elsewhere;H22;icdcat7-3;H22
Iridocyclitis in infectious and parasitic diseases classified elsewhere;H22.0;icdcat7-3;H220
Iridocyclitis in other diseases classified elsewhere;H22.1;icdcat7-3;H221
Other disorders of iris and ciliary body in diseases classified elsewhere;H22.8;icdcat7-3;H228
Senile cataract;H25;icdcat7-4;H25
Senile incipient cataract;H25.0;icdcat7-4;H250
Senile nuclear cataract;H25.1;icdcat7-4;H251
Senile cataract, morgagnian type;H25.2;icdcat7-4;H252
Other senile cataract;H25.8;icdcat7-4;H258
Senile cataract, unspecified;H25.9;icdcat7-4;H259
Other cataract;H26;icdcat7-4;H26
Infantile, juvenile and presenile cataract;H26.0;icdcat7-4;H260
Traumatic cataract;H26.1;icdcat7-4;H261
Complicated cataract;H26.2;icdcat7-4;H262
Drug-induced cataract;H26.3;icdcat7-4;H263
After-cataract;H26.4;icdcat7-4;H264
Other specified cataract;H26.8;icdcat7-4;H268
Cataract, unspecified;H26.9;icdcat7-4;H269
Other disorders of lens;H27;icdcat7-4;H27
Aphakia;H27.0;icdcat7-4;H270
Dislocation of lens;H27.1;icdcat7-4;H271
Other specified disorders of lens;H27.8;icdcat7-4;H278
Disorder of lens, unspecified;H27.9;icdcat7-4;H279
Cataract and other disorders of lens in diseases classified elsewhere;H28;icdcat7-4;H28
Diabetic cataract;H28.0;icdcat7-4;H280
Cataract in other endocrine, nutritional and metabolic diseases;H28.1;icdcat7-4;H281
Cataract in other diseases classified elsewhere;H28.2;icdcat7-4;H282
Other disorders of lens in diseases classified elsewhere;H28.8;icdcat7-4;H288
Chorioretinal inflammation;H30;icdcat7-5;H30
Focal chorioretinal inflammation;H30.0;icdcat7-5;H300
Disseminated chorioretinal inflammation;H30.1;icdcat7-5;H301
Posterior cyclitis;H30.2;icdcat7-5;H302
Other chorioretinal inflammations;H30.8;icdcat7-5;H308
Chorioretinal inflammation, unspecified;H30.9;icdcat7-5;H309
Other disorders of choroid;H31;icdcat7-5;H31
Chorioretinal scars;H31.0;icdcat7-5;H310
Choroidal degeneration;H31.1;icdcat7-5;H311
Hereditary choroidal dystrophy;H31.2;icdcat7-5;H312
Choroidal haemorrhage and rupture;H31.3;icdcat7-5;H313
Choroidal detachment;H31.4;icdcat7-5;H314
Other specified disorders of choroid;H31.8;icdcat7-5;H318
Disorder of choroid, unspecified;H31.9;icdcat7-5;H319
Chorioretinal disorders in diseases classified elsewhere;H32;icdcat7-5;H32
Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere;H32.0;icdcat7-5;H320
Other chorioretinal disorders in diseases classified elsewhere;H32.8;icdcat7-5;H328
Retinal detachments and breaks;H33;icdcat7-5;H33
Retinal detachment with retinal break;H33.0;icdcat7-5;H330
Retinoschisis and retinal cysts;H33.1;icdcat7-5;H331
Serous retinal detachment;H33.2;icdcat7-5;H332
Retinal breaks without detachment;H33.3;icdcat7-5;H333
Traction detachment of retina;H33.4;icdcat7-5;H334
Other retinal detachments;H33.5;icdcat7-5;H335
Retinal vascular occlusions;H34;icdcat7-5;H34
Transient retinal artery occlusion;H34.0;icdcat7-5;H340
Central retinal artery occlusion;H34.1;icdcat7-5;H341
Other retinal artery occlusions;H34.2;icdcat7-5;H342
Other retinal vascular occlusions;H34.8;icdcat7-5;H348
Retinal vascular occlusion, unspecified;H34.9;icdcat7-5;H349
Other retinal disorders;H35;icdcat7-5;H35
